datetime,open,high,low,close,volume,hold
2025-12-26 14:15:00,14630.0,14640.0,14575.0,14585.0,26499,910485
2025-12-26 14:45:00,14580.0,14600.0,14570.0,14585.0,22729,908851
2025-12-26 15:00:00,14585.0,14585.0,14520.0,14535.0,12569,903849
2025-12-26 21:30:00,14535.0,14550.0,14445.0,14530.0,119569,896991
2025-12-26 22:00:00,14530.0,14540.0,14480.0,14495.0,28924,896005
2025-12-26 22:30:00,14490.0,14500.0,14445.0,14445.0,30858,892890
2025-12-26 23:00:00,14445.0,14495.0,14445.0,14475.0,185,889571
2025-12-29 09:30:00,14470.0,14555.0,14395.0,14480.0,218,886513
2025-12-29 10:00:00,14480.0,14530.0,14470.0,14490.0,45,886429
2025-12-29 10:45:00,14490.0,14550.0,14485.0,14535.0,3115,888463
2025-12-29 11:15:00,14530.0,14540.0,14495.0,14510.0,4008,886945
2025-12-29 13:45:00,14510.0,14510.0,14480.0,14485.0,6874,884255
2025-12-29 14:15:00,14485.0,14490.0,14445.0,14465.0,2862,877947
2025-12-29 14:45:00,14450.0,14475.0,14440.0,14460.0,3519,874489
2025-12-29 15:00:00,14465.0,14475.0,14430.0,14435.0,5438,868630
2025-12-29 21:30:00,14470.0,14530.0,14460.0,14475.0,73718,875670
2025-12-29 22:00:00,14475.0,14515.0,14455.0,14485.0,27849,874783
2025-12-29 22:30:00,14485.0,14490.0,14445.0,14460.0,18218,872817
2025-12-29 23:00:00,14465.0,14475.0,14435.0,14445.0,16146,869208
2025-12-30 09:30:00,14435.0,14495.0,14430.0,14490.0,29709,867608
2025-12-30 10:00:00,14495.0,14510.0,14475.0,14500.0,17779,870367
2025-12-30 10:45:00,14500.0,14515.0,14470.0,14475.0,16544,869435
2025-12-30 11:15:00,14475.0,14505.0,14445.0,14495.0,27315,866498
2025-12-30 13:45:00,14495.0,14550.0,14490.0,14515.0,2040,871399
2025-12-30 14:15:00,14515.0,14590.0,14510.0,14560.0,1376,875485
2025-12-30 14:45:00,14565.0,14630.0,14560.0,14565.0,22303,879203
2025-12-30 15:00:00,14570.0,14590.0,14560.0,14560.0,13509,876597
2025-12-30 21:30:00,14575.0,14640.0,14565.0,14605.0,60488,885205
2025-12-30 22:00:00,14605.0,14615.0,14565.0,14565.0,30147,883845
2025-12-30 22:30:00,14565.0,14580.0,14550.0,14575.0,16432,881994
2025-12-30 23:00:00,14575.0,14580.0,14545.0,14570.0,15771,879454
2025-12-31 09:30:00,14570.0,14570.0,14495.0,14525.0,38201,877172
2025-12-31 10:00:00,14525.0,14535.0,14510.0,14520.0,13389,877014
2025-12-31 10:45:00,14520.0,14545.0,14515.0,14525.0,12381,875682
2025-12-31 11:15:00,14525.0,14525.0,14495.0,14515.0,1665,875472
2025-12-31 13:45:00,14520.0,14520.0,14465.0,14490.0,352,870341
2025-12-31 14:15:00,14485.0,14520.0,14470.0,14505.0,110,867700
2025-12-31 14:45:00,14505.0,14580.0,14505.0,14580.0,1773,864294
2025-12-31 15:00:00,14580.0,14595.0,14570.0,14585.0,6645,860723
2026-01-05 09:30:00,14605.0,14770.0,14560.0,14750.0,124474,889323
2026-01-05 10:00:00,14750.0,14810.0,14715.0,14810.0,50235,903044
2026-01-05 10:45:00,14805.0,14870.0,14785.0,14865.0,45735,911137
2026-01-05 11:15:00,14860.0,14875.0,14805.0,14810.0,33070,911808
2026-01-05 13:45:00,14810.0,14815.0,14730.0,14730.0,48075,908271
2026-01-05 14:15:00,14730.0,14735.0,14525.0,14615.0,132773,889318
2026-01-05 14:45:00,14615.0,14665.0,14595.0,14665.0,27275,889985
2026-01-05 15:00:00,14660.0,14675.0,14645.0,14655.0,9441,889861
2026-01-05 21:30:00,14660.0,14740.0,14640.0,14725.0,82917,904517
2026-01-05 22:00:00,14730.0,14740.0,14710.0,14715.0,24590,905006
2026-01-05 22:30:00,14720.0,14745.0,14710.0,14710.0,24061,906145
2026-01-05 23:00:00,14710.0,14745.0,14690.0,14720.0,25152,904272
2026-01-06 09:30:00,14720.0,14760.0,14705.0,14745.0,34769,903770
2026-01-06 10:00:00,14745.0,14750.0,14720.0,14740.0,16935,904232
2026-01-06 10:45:00,14740.0,14775.0,14735.0,14760.0,15582,905293
2026-01-06 11:15:00,14765.0,14810.0,14760.0,14800.0,28005,908870
2026-01-06 13:45:00,14800.0,14845.0,14780.0,14810.0,38775,912979
2026-01-06 14:15:00,14810.0,14880.0,14810.0,14875.0,43652,919445
2026-01-06 14:45:00,14875.0,14885.0,14850.0,14865.0,2511,919280
2026-01-06 15:00:00,14865.0,14880.0,14840.0,14855.0,456,915853
2026-01-06 21:30:00,14895.0,14995.0,14885.0,14990.0,117520,933982
2026-01-06 22:00:00,14990.0,15035.0,14930.0,14945.0,73214,932544
2026-01-06 22:30:00,14940.0,15000.0,14930.0,14995.0,27505,931286
2026-01-06 23:00:00,15000.0,15050.0,14995.0,15030.0,37166,933759
2026-01-07 09:30:00,15015.0,15030.0,14855.0,14880.0,110517,921679
2026-01-07 10:00:00,14875.0,14915.0,14840.0,14865.0,9587,918889
2026-01-07 10:45:00,14865.0,14975.0,14860.0,14950.0,33778,919225
2026-01-07 11:15:00,14935.0,14965.0,14920.0,14960.0,21281,920818
2026-01-07 13:45:00,14960.0,15015.0,14940.0,14970.0,41213,920940
2026-01-07 14:15:00,14970.0,15085.0,14965.0,15085.0,58830,928462
2026-01-07 14:45:00,15085.0,15095.0,15040.0,15070.0,33310,930664
2026-01-07 15:00:00,15065.0,15075.0,15035.0,15035.0,4912,925465
2026-01-07 21:30:00,15060.0,15095.0,14930.0,14975.0,130694,923352
2026-01-07 22:00:00,14980.0,14985.0,14885.0,14940.0,70595,919682
2026-01-07 22:30:00,14945.0,14965.0,14925.0,14950.0,21167,918584
2026-01-07 23:00:00,14950.0,14950.0,14855.0,14870.0,42343,911609
2026-01-08 09:30:00,14865.0,14940.0,14845.0,14905.0,53996,907721
2026-01-08 10:00:00,14905.0,14940.0,14895.0,14935.0,2769,907940
2026-01-08 10:45:00,14940.0,14945.0,14865.0,14865.0,690,906948
2026-01-08 11:15:00,14880.0,14905.0,14765.0,14790.0,12832,892340
2026-01-08 13:45:00,14785.0,14820.0,14690.0,14715.0,48992,875743
2026-01-08 14:15:00,14710.0,14775.0,14690.0,14700.0,3536,869143
2026-01-08 14:45:00,14705.0,14765.0,14695.0,14755.0,42,864033
2026-01-08 15:00:00,14750.0,14760.0,14740.0,14740.0,120,862891
2026-01-08 21:30:00,14820.0,14825.0,14735.0,14765.0,88425,871511
2026-01-08 22:00:00,14765.0,14775.0,14705.0,14710.0,31373,865905
2026-01-08 22:30:00,14710.0,14715.0,14645.0,14660.0,71961,854628
2026-01-08 23:00:00,14660.0,14725.0,14640.0,14710.0,31188,852748
2026-01-09 09:30:00,14720.0,14760.0,14710.0,14760.0,41258,849327
2026-01-09 10:00:00,14765.0,14815.0,14740.0,14800.0,27940,850020
2026-01-09 10:45:00,14800.0,14830.0,14790.0,14820.0,17784,849103
2026-01-09 11:15:00,14825.0,14860.0,14715.0,14765.0,67127,855844
2026-01-09 13:45:00,14765.0,14785.0,14695.0,14700.0,30993,854295
2026-01-09 14:15:00,14700.0,14715.0,14665.0,14700.0,5491,853393
2026-01-09 14:45:00,14700.0,14705.0,14675.0,14675.0,2527,852337
2026-01-09 15:00:00,14675.0,14685.0,14655.0,14675.0,3659,848931
2026-01-09 21:30:00,14680.0,14680.0,14555.0,14585.0,114169,840221
2026-01-09 22:00:00,14585.0,14600.0,14460.0,14485.0,223,823397
2026-01-09 22:30:00,14470.0,14530.0,14430.0,14530.0,88,814197
